"Hodnota","Jednotka","Rok","Výdaje"
21436000,"Kč",2010,"Nákup materiálu a služeb"
23063385.68,"Kč",2011,"Nákup materiálu a služeb"
17719018.09,"Kč",2012,"Nákup materiálu a služeb"
14561868.3,"Kč",2013,"Nákup materiálu a služeb"
15707995.62,"Kč",2014,"Nákup materiálu a služeb"
38692638.98,"Kč",2015,"Nákup materiálu a služeb"
17064019.74,"Kč",2016,"Nákup materiálu a služeb"
18562771.86,"Kč",2017,"Nákup materiálu a služeb"
18317277.47,"Kč",2018,"Nákup materiálu a služeb"
540000,"Kč",2010,"Voda, energie a paliva"
541235.71,"Kč",2011,"Voda, energie a paliva"
627355.89,"Kč",2012,"Voda, energie a paliva"
658971.7,"Kč",2013,"Voda, energie a paliva"
503364.32,"Kč",2014,"Voda, energie a paliva"
603876.6,"Kč",2015,"Voda, energie a paliva"
689284.2,"Kč",2016,"Voda, energie a paliva"
561657.85,"Kč",2017,"Voda, energie a paliva"
671527.37,"Kč",2018,"Voda, energie a paliva"
18798000,"Kč",2010,"Mzdy (platy) a zdrav. a soc. poj. "
16832466,"Kč",2011,"Mzdy (platy) a zdrav. a soc. poj. "
17475899.6,"Kč",2012,"Mzdy (platy) a zdrav. a soc. poj. "
18267584.82,"Kč",2013,"Mzdy (platy) a zdrav. a soc. poj. "
18284959.82,"Kč",2014,"Mzdy (platy) a zdrav. a soc. poj. "
18313250.46,"Kč",2015,"Mzdy (platy) a zdrav. a soc. poj. "
18249041.55,"Kč",2016,"Mzdy (platy) a zdrav. a soc. poj. "
21138004.16,"Kč",2017,"Mzdy (platy) a zdrav. a soc. poj. "
20442677,"Kč",2018,"Mzdy (platy) a zdrav. a soc. poj. "
8847000,"Kč",2010,"Ostatní"
8218595.70999999,"Kč",2011,"Ostatní"
9639616.67,"Kč",2012,"Ostatní"
8469882.67,"Kč",2013,"Ostatní"
8501625.64,"Kč",2014,"Ostatní"
8489653.49,"Kč",2015,"Ostatní"
9358009.45000001,"Kč",2016,"Ostatní"
8443001.43,"Kč",2017,"Ostatní"
7316706,"Kč",2018,"Ostatní"
1827000,"Kč",2010,"Opravy a údržba"
6133006.17,"Kč",2011,"Opravy a údržba"
2820484.18,"Kč",2012,"Opravy a údržba"
2744725.11,"Kč",2013,"Opravy a údržba"
3568539.11,"Kč",2014,"Opravy a údržba"
12577498.69,"Kč",2015,"Opravy a údržba"
2828619.78,"Kč",2016,"Opravy a údržba"
2738806.11,"Kč",2017,"Opravy a údržba"
3282472.08,"Kč",2018,"Opravy a údržba"
